place,catu,grav,sexe,secu1,senc,catv,obs,obsm,choc,manv,motor,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,hrmn,lum,atm,col,lat,long,we,age,agg_1,agg_2,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9
1.0,1.0,1.0,0.0,1.0,1,7,0,2,2,14,1,1,3,2,0,1,1,1,0,1,90,19,3,1,3,48.90368296,2.4666784,True,29.0,True,False,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,2,7,3,2,3,18,0,2,3,4,0,1,1,1,0,1,90,11,1,1,3,48.13439,-1.7065,False,38.0,True,False,True,False,False,False,False,False,False,False,False
2.0,2.0,2.0,0.0,1.0,2,10,0,2,2,1,1,4,1,1,0,1,1,1,0,1,30,6,3,1,3,48.868885,2.33672,False,33.0,False,True,False,True,False,False,False,False,False,False,False
10.0,3.0,2.0,1.0,0.0,1,7,0,1,1,1,1,4,2,2,0,1,1,1,0,1,50,17,3,8,6,47.45109,-0.54482,False,23.0,False,True,True,False,False,False,False,False,False,False,False
2.0,2.0,2.0,0.0,1.0,2,7,0,2,1,1,1,4,3,4,1,1,1,1,0,1,50,11,1,1,6,47.3741542252,0.6986624748,False,45.0,False,True,False,False,True,False,False,False,False,False,False
3.0,2.0,1.0,0.0,1.0,1,7,0,1,2,1,1,4,3,2,0,1,1,1,0,1,50,16,1,1,6,48.860588,2.295547,True,22.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,2,7,0,2,1,11,1,4,2,4,0,1,1,1,0,1,30,12,1,1,3,48.84663,2.376715,True,44.0,False,True,False,True,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,2.0,3,43,0,2,7,17,1,3,1,1,0,1,1,1,0,1,50,8,1,1,1,48.85412,2.22259,False,46.0,False,True,False,False,True,False,False,False,False,False,False
1.0,1.0,2.0,1.0,1.0,3,7,0,2,1,1,1,4,2,4,0,1,1,1,5,1,50,19,1,1,3,49.24084,4.01349,True,30.0,False,True,False,True,False,False,False,False,False,False,False
10.0,3.0,3.0,0.0,0.0,2,7,0,1,1,1,1,3,2,3,2,1,1,2,0,1,50,5,3,3,6,48.84547782,2.42868146,True,26.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,2.0,0.0,1.0,2,10,2,0,9,21,1,2,2,2,0,1,1,1,0,1,80,3,5,1,6,44.77721452,5.98851268,True,24.0,True,False,True,False,False,False,False,False,False,False,False
10.0,3.0,2.0,0.0,0.0,3,7,0,1,2,1,1,3,2,2,0,1,1,1,0,1,30,18,1,1,1,42.888183,9.474214,False,7.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,1.0,1,7,0,2,1,11,1,4,2,1,0,1,1,1,0,1,30,19,3,1,1,43.123275,6.013741,False,27.0,False,True,True,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.0,2.0,2,34,0,2,5,1,1,3,2,2,0,1,1,1,0,1,30,15,1,1,3,48.91640382,2.44415358,True,27.0,False,True,False,False,True,False,False,False,False,False,False
